Run ID,Symbol Set,Portfolio Balance,Total Return %,Annualized Return %,Max Drawdown,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Total Trades,Profit Factor,Win Rate %,Avg Win ($),Avg Loss ($),EMA Period,ATR Stop Multiplier,Risk Bull,MACD Fast Period,MACD Slow Period,MACD Signal Period,ATR Period,Allocation Defense
086,QQQ-TQQQ,1134700.15,112.470,0.355,-0.108,3.9,1.75,3.29,343,0.0,0.283,2930.78,-468390.59,75,3.0,0.05,12,26,9,14,0.5
087,QQQ-TQQQ,1114166.91,110.417,0.353,-0.131,3.61,1.58,2.71,343,0.0,0.283,3885.95,-447847.37,75,3.0,0.05,12,26,9,14,0.7
088,QQQ-TQQQ,2728109.60,271.811,0.434,-0.127,4.06,1.76,3.41,342,0.0,0.284,7290.04,-1002727.66,75,3.0,0.06,12,26,9,14,0.6
089,QQQ-TQQQ,2749494.48,273.949,0.434,-0.116,4.17,1.82,3.75,342,0.0,0.284,6235.26,-1027064.5,75,3.0,0.06,12,26,9,14,0.5
090,QQQ-TQQQ,2701633.20,269.163,0.433,-0.138,3.93,1.69,3.13,342,0.0,0.284,8272.5,-977690.33,75,3.0,0.06,12,26,9,14,0.7
091,QQQ-TQQQ,-1101423.97,-111.142,,-1.0,,0.23,,90,0.0,0.356,281.29,-434152.47,75,1.0,0.04,12,26,9,14,0.6
092,QQQ-TQQQ,-1111342.25,-112.134,,-1.0,,0.23,,90,0.0,0.356,234.85,-434512.06,75,1.0,0.04,12,26,9,14,0.5
093,QQQ-TQQQ,-1091733.62,-110.173,,-1.0,,0.23,,90,0.0,0.356,327.8,-433793.3,75,1.0,0.04,12,26,9,14,0.7
094,QQQ-TQQQ,-419815.69,-42.982,,-1.0,,0.19,,76,0.0,0.421,149.99,-210433.32,75,1.0,0.05,12,26,9,14,0.6
095,QQQ-TQQQ,-423433.55,-43.343,,-1.0,,0.19,,76,0.0,0.421,124.92,-210831.71,75,1.0,0.05,12,26,9,14,0.5
096,QQQ-TQQQ,-416083.49,-42.608,,-1.0,,0.19,,76,0.0,0.421,174.75,-209994.69,75,1.0,0.05,12,26,9,14,0.7
097,QQQ-TQQQ,-185686.67,-19.569,,-1.0,,0.15,,68,0.0,0.471,102.24,-93989.83,75,1.0,0.06,12,26,9,14,0.6
098,QQQ-TQQQ,-187438.07,-19.744,,-1.0,,0.15,,68,0.0,0.471,85.14,-94088.3,75,1.0,0.06,12,26,9,14,0.5
099,QQQ-TQQQ,-184169.33,-19.417,,-1.0,,0.15,,68,0.0,0.471,119.35,-93910.72,75,1.0,0.06,12,26,9,14,0.7
100,QQQ-TQQQ,936373.16,92.637,0.338,-0.118,3.7,1.64,2.88,343,0.0,0.283,2933.94,-391581.89,75,2.5,0.04,12,26,9,14,0.6
101,QQQ-TQQQ,944431.44,93.443,0.339,-0.106,3.84,1.73,3.19,343,0.0,0.283,2511.45,-400092.84,75,2.5,0.04,12,26,9,14,0.5
102,QQQ-TQQQ,927240.96,91.724,0.338,-0.129,3.54,1.55,2.62,343,0.0,0.283,3329.65,-383028.0,75,2.5,0.04,12,26,9,14,0.7
