Run ID,Symbol Set,Portfolio Balance,Total Return %,Annualized Return %,Max Drawdown,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Total Trades,Profit Factor,Win Rate %,Avg Win ($),Avg Loss ($),EMA Period,ATR Stop Multiplier,Risk Bull,MACD Fast Period,MACD Slow Period,MACD Signal Period,ATR Period,Allocation Defense
113,QQQ-TQQQ,-14991.71,-2.499,,-1.0,,-0.06,,19,0.0,0.368,99.99,-439116.51,200,2.0,0.05,12,26,9,14,0.5
114,QQQ-TQQQ,-15107.57,-2.511,,-1.0,,-0.06,,19,0.0,0.368,141.69,-445698.68,200,2.0,0.05,12,26,9,14,0.7
115,QQQ-TQQQ,-15583.39,-2.558,,-1.0,,-0.05,,18,0.0,0.389,123.67,-502327.29,200,2.0,0.06,12,26,9,14,0.6
116,QQQ-TQQQ,-15523.51,-2.552,,-1.0,,-0.05,,18,0.0,0.389,102.34,-498436.83,200,2.0,0.06,12,26,9,14,0.5
117,QQQ-TQQQ,-15639.83,-2.564,,-1.0,,-0.05,,18,0.0,0.389,144.87,-506167.44,200,2.0,0.06,12,26,9,14,0.7
118,QQQ-TQQQ,15450.05,0.545,0.157,-0.153,1.48,0.66,1.02,56,0.0,0.268,149.23,-210698.28,200,3.0,0.04,12,26,9,14,0.6
119,QQQ-TQQQ,15507.28,0.551,0.158,-0.148,1.54,0.68,1.07,56,0.0,0.268,124.31,-210801.09,200,3.0,0.04,12,26,9,14,0.5
120,QQQ-TQQQ,15396.09,0.540,0.155,-0.159,1.41,0.64,0.98,56,0.0,0.268,173.71,-210595.08,200,3.0,0.04,12,26,9,14,0.7
121,QQQ-TQQQ,-13713.76,-2.371,,-1.0,,-0.07,,19,0.0,0.368,114.24,-277290.7,200,3.0,0.05,12,26,9,14,0.6
122,QQQ-TQQQ,-13661.38,-2.366,,-1.0,,-0.07,,19,0.0,0.368,94.5,-275234.9,200,3.0,0.05,12,26,9,14,0.5
123,QQQ-TQQQ,-13764.76,-2.376,,-1.0,,-0.07,,19,0.0,0.368,133.95,-279328.32,200,3.0,0.05,12,26,9,14,0.7
124,QQQ-TQQQ,-14237.95,-2.424,,-1.0,,-0.06,,19,0.0,0.368,116.89,-341078.6,200,3.0,0.06,12,26,9,14,0.6
