Trade_ID,Date,Bar_Number,Strategy_State,Ticker,Decision,Decision_Reason,Indicator_EMA_100,Indicator_MACD_Line,Indicator_Price,Indicator_Signal_Line,Indicator_VIX,Threshold_ATR_Stop_Multiplier,Threshold_EMA_Period,Threshold_Risk_Per_Trade,Threshold_VIX_Kill_Switch,Order_Type,Shares,Fill_Price,Position_Value,Slippage,Commission,Portfolio_Value_Before,Portfolio_Value_After,Cash_Before,Cash_After,Allocation_Before,Allocation_After,Cumulative_Return_Pct
24,2020-09-16 22:00:00,1725,Liquidating TQQQ position (state change),TQQQ,SELL,"Price(270.32) > EMA(257.85), MACD(-0.0958) <= 0, VIX(26.46) <= 30.0",257.854200291495,-0.09584647903830046,270.32,2.456224938368573,26.46,2.0,100.0,0.025,30.0,MARKET,557,31.7207475,17668.4563575,0.0,0.0,152106.0547475,152088.368605,134419.9122475,152088.368605,"CASH: 88.4%, TQQQ: 11.6%",CASH: 100.0%,52.088368605
25,2020-10-04 22:00:00,1773,IN: Price > EMA AND MACD > 0 AND VIX calm,TQQQ,BUY,"Price(280.16) > EMA(261.91), MACD(0.1665) > 0, VIX(27.96) <= 30.0",261.9142310346588,0.1664686255954848,280.16,-0.6310475465576942,27.96,2.0,100.0,0.025,30.0,MARKET,892,31.4639325,28065.82779,0.0,0.0,152088.368605,152060.330815,152088.368605,124022.540815,CASH: 100.0%,"CASH: 81.6%, TQQQ: 18.4%",52.060330815
26,2020-10-25 22:00:00,1833,Liquidating TQQQ position (state change),TQQQ,SELL,"Price(280.47) > EMA(269.06), MACD(1.8953) > 0, VIX(32.46) > 30.0",269.0574081433059,1.8953025761832691,280.47,2.6045856906908322,32.46,2.0,100.0,0.025,30.0,MARKET,892,34.790175,31032.8361,0.0,0.0,155086.440815,155055.376915,124022.540815,155055.376915,"CASH: 80.0%, TQQQ: 20.0%",CASH: 100.0%,55.055376915
27,2020-11-04 22:00:00,1865,IN: Price > EMA AND MACD > 0 AND VIX calm,TQQQ,BUY,"Price(294.39) > EMA(271.27), MACD(0.4323) > 0, VIX(27.58) <= 30.0",271.26986617625073,0.4323287753608156,294.39,0.016352238505851973,27.58,2.0,100.0,0.025,30.0,MARKET,743,35.05502,26045.87986,0.0,0.0,155055.376915,155029.357055,155055.376915,129009.497055,CASH: 100.0%,"CASH: 83.2%, TQQQ: 16.8%",55.029357055
28,2021-01-26 22:00:00,2085,Liquidating TQQQ position (state change),TQQQ,SELL,"Price(319.43) > EMA(299.85), MACD(4.9942) > 0, VIX(37.21) > 30.0",299.8513398768748,4.994207003942108,319.43,4.614305041947268,37.21,2.0,100.0,0.025,30.0,MARKET,743,51.65829,38382.10947,0.0,0.0,167430.027055,167391.606525,129009.497055,167391.606525,"CASH: 77.1%, TQQQ: 22.9%",CASH: 100.0%,67.391606525
29,2021-02-01 22:00:00,2101,IN: Price > EMA AND MACD > 0 AND VIX calm,TQQQ,BUY,"Price(327.68) > EMA(302.83), MACD(4.0370) > 0, VIX(25.56) <= 30.0",302.82846851944277,4.037036462323215,327.68,4.256283419370948,25.56,2.0,100.0,0.025,30.0,MARKET,745,48.60856,36213.3772,0.0,0.0,167391.606525,167355.429325,167391.606525,131178.229325,CASH: 100.0%,"CASH: 78.4%, TQQQ: 21.6%",67.355429325
30,2021-02-25 22:00:00,2169,Liquidating TQQQ position (state change),TQQQ,SELL,"Price(314.14) > EMA(307.76), MACD(-0.2121) <= 0, VIX(27.95) <= 30.0",307.75797836656545,-0.2120733628176481,314.14,2.6292809851174095,27.95,2.0,100.0,0.025,30.0,MARKET,745,43.90605,32710.00725,0.0,0.0,163920.979325,163888.236575,131178.229325,163888.236575,"CASH: 80.0%, TQQQ: 20.0%",CASH: 100.0%,63.888236575
31,2021-04-04 22:00:00,2269,IN: Price > EMA AND MACD > 0 AND VIX calm,TQQQ,BUY,"Price(331.05) > EMA(311.79), MACD(1.0245) > 0, VIX(17.91) <= 30.0",311.7856492389996,1.0244759942863766,331.05,-0.7198077598220094,17.91,2.0,100.0,0.025,30.0,MARKET,859,47.99795,41230.23905,0.0,0.0,163888.236575,163847.047525,163888.236575,122657.997525,CASH: 100.0%,"CASH: 74.9%, TQQQ: 25.1%",63.847047525
32,2021-05-10 22:00:00,2372,Liquidating TQQQ position (state change),TQQQ,SELL,"Price(325.31) > EMA(323.63), MACD(-0.0598) <= 0, VIX(21.84) <= 30.0",323.631654252905,-0.05981519280692282,325.31,2.017547660164467,21.84,2.0,100.0,0.025,30.0,MARKET,859,47.952,41190.768,0.0,0.0,163889.997525,163848.765525,122657.997525,163848.765525,"CASH: 74.8%, TQQQ: 25.2%",CASH: 100.0%,63.848765525
33,2021-05-26 22:00:00,2419,IN: Price > EMA AND MACD > 0 AND VIX calm,TQQQ,BUY,"Price(332.88) > EMA(325.00), MACD(0.0857) > 0, VIX(16.56) <= 30.0",325.0027928329424,0.0857172612157342,332.88,-0.8266403917225965,16.56,2.0,100.0,0.025,30.0,MARKET,903,51.4514,46460.6142,0.0,0.0,163848.765525,163802.351325,163848.765525,117388.151325,CASH: 100.0%,"CASH: 71.7%, TQQQ: 28.3%",63.802351325
