# Backtest Dashboard Export
# strategy_name: Hierarchical_Adaptive_v3_5b
# start_date: 2010-01-01
# end_date: 2026-01-20
# initial_capital: 10000.00
# total_return: 8102.29
# annualized_return: 31.61
# sharpe_ratio: 1.14
# max_drawdown: -29.26
# alpha: 6.60
# baseline_ticker: QQQ
Date,Portfolio_Value,Baseline_Value,BuyHold_Value,Regime,Trend,Vol
2023-08-21,438920.63,78392.93,78392.93,3,Sideways,Low
2023-08-22,441865.92,78280.91,78280.91,3,Sideways,Low
2023-08-23,451421.30,79515.30,79515.30,3,Sideways,Low
2023-08-24,437926.17,77815.60,77815.60,3,Sideways,Low
2023-08-25,442607.01,78418.79,78418.79,3,Sideways,Low
2023-08-28,445314.13,79009.05,79009.05,3,Sideways,Low
2023-08-29,460472.43,80734.60,80734.60,3,Sideways,Low
2023-08-30,464038.44,81184.83,81184.83,3,Sideways,Low
2023-08-31,465981.57,81428.26,81428.26,3,Sideways,Low
2023-09-01,465260.05,81342.09,81342.09,3,Sideways,Low
2023-09-05,465973.59,81445.50,81445.50,3,Sideways,Low
2023-09-06,460246.99,80728.13,80728.13,3,Sideways,Low
2023-09-07,455641.20,80150.80,80150.80,3,Sideways,Low
2023-09-08,456416.02,80262.82,80262.82,3,Sideways,Low
2023-09-11,460753.34,81208.53,81208.53,3,Sideways,Low
2023-09-12,456710.52,80308.06,80308.06,3,Sideways,Low
2023-09-13,458983.68,80613.96,80613.96,3,Sideways,Low
2023-09-14,464095.44,81273.16,81273.16,3,Sideways,Low
2023-09-15,453035.64,79881.52,79881.52,3,Sideways,Low
2023-09-18,452887.44,79849.20,79849.20,3,Sideways,Low
2023-09-19,451780.59,79679.02,79679.02,3,Sideways,Low
2023-09-20,442489.88,78530.81,78530.81,3,Sideways,Low
2023-09-21,431212.71,77091.77,77091.77,3,Sideways,Low
2023-09-22,431316.50,77102.54,77102.54,3,Sideways,Low
2023-09-25,432996.10,77468.76,77468.76,3,Sideways,Low
2023-09-26,425191.71,76305.47,76305.47,3,Sideways,Low
2023-09-27,426468.60,76484.27,76484.27,3,Sideways,Low
2023-09-28,431230.38,77124.08,77124.08,3,Sideways,Low
2023-09-29,431661.30,77180.09,77180.09,3,Sideways,Low
2023-10-02,434615.42,77824.21,77824.21,3,Sideways,Low
2023-10-03,426001.96,76458.42,76458.42,3,Sideways,Low
2023-10-04,433819.70,77498.92,77498.92,3,Sideways,Low
2023-10-05,431945.73,77270.57,77270.57,3,Sideways,Low
2023-10-06,441777.76,78565.27,78565.27,3,Sideways,Low
2023-10-09,443615.44,78965.96,78965.96,3,Sideways,Low
2023-10-10,448166.41,79403.27,79403.27,3,Sideways,Low
2023-10-11,452548.76,79969.84,79969.84,3,Sideways,Low
2023-10-12,450273.51,79691.94,79691.94,3,Sideways,Low
2023-10-13,442481.33,78690.22,78690.22,3,Sideways,Low
2023-10-16,446561.77,79579.92,79579.92,3,Sideways,Low
2023-10-17,447302.48,79319.26,79319.26,3,Sideways,Low
2023-10-18,439006.13,78278.76,78278.76,3,Sideways,Low
2023-10-19,433514.94,77546.32,77546.32,3,Sideways,Low
2023-10-20,424706.83,76389.49,76389.49,3,Sideways,Low
2023-10-23,425763.99,76619.99,76619.99,3,Sideways,Low
2023-10-24,431945.35,77365.36,77365.36,3,Sideways,Low
2023-10-25,417626.29,75471.78,75471.78,3,Sideways,Low
2023-10-26,406871.24,74032.74,74032.74,3,Sideways,Low
2023-10-27,409458.66,74388.19,74388.19,3,Sideways,Low
2023-10-30,413301.98,75226.20,75226.20,3,Sideways,Low
2023-10-31,418171.68,75585.95,75585.95,3,Sideways,Low
2023-11-01,427865.20,76897.89,76897.89,3,Sideways,Low
2023-11-02,438248.60,78293.84,78293.84,3,Sideways,Low
2023-11-03,445252.00,79213.70,79213.70,3,Sideways,Low
2023-11-06,446734.00,79536.84,79536.84,3,Sideways,Low
2023-11-07,452971.80,80288.67,80288.67,1,BullStrong,Low
2023-11-08,453574.90,80340.37,80340.37,1,BullStrong,Low
2023-11-09,445717.43,79722.10,79722.10,1,BullStrong,Low
2023-11-10,467481.57,81514.43,81514.43,1,BullStrong,Low
2023-11-13,466906.91,81260.23,81260.23,1,BullStrong,Low
2023-11-14,485934.17,83009.48,83009.48,1,BullStrong,Low
2023-11-15,486908.92,83071.95,83071.95,1,BullStrong,Low
2023-11-16,487555.85,83143.04,83143.04,1,BullStrong,Low
2023-11-17,487808.06,83162.43,83162.43,1,BullStrong,Low
2023-11-20,490096.96,84174.92,84174.92,1,BullStrong,Low
2023-11-21,494062.05,83685.91,83685.91,1,BullStrong,Low
2023-11-22,498378.84,84028.44,84028.44,1,BullStrong,Low
2023-11-24,496582.87,83909.95,83909.95,1,BullStrong,Low
2023-11-27,496417.29,83836.71,83836.71,1,BullStrong,Low
2023-11-28,498442.15,84056.44,84056.44,1,BullStrong,Low
2023-11-29,497145.73,83974.58,83974.58,1,BullStrong,Low
2023-11-30,494098.45,83763.46,83763.46,1,BullStrong,Low
2023-12-01,497209.04,84002.59,84002.59,1,BullStrong,Low
2023-12-04,495446.10,83222.75,83222.75,1,BullStrong,Low
2023-12-05,489319.79,83431.71,83431.71,1,BullStrong,Low
2023-12-06,482880.49,82949.16,82949.16,1,BullStrong,Low
2023-12-07,497864.43,84108.14,84108.14,1,BullStrong,Low
2023-12-08,502393.19,84482.98,84482.98,1,BullStrong,Low
2023-12-11,504024.64,85204.65,85204.65,1,BullStrong,Low
2023-12-12,521187.19,85883.24,85883.24,1,BullStrong,Low
2023-12-13,535186.64,86975.44,86975.44,1,BullStrong,Low
2023-12-14,534460.51,86900.04,86900.04,1,BullStrong,Low
2023-12-15,539438.84,87320.12,87320.12,1,BullStrong,Low
2023-12-18,540286.22,87694.96,87694.96,1,BullStrong,Low
2023-12-19,553663.06,88143.04,88143.04,1,BullStrong,Low
2023-12-20,533476.02,86833.26,86833.26,1,BullStrong,Low
2023-12-21,546908.38,87843.60,87843.60,1,BullStrong,Low
2023-12-22,548629.38,87975.01,87975.01,1,BullStrong,Low
2023-12-26,556237.20,88513.57,88513.57,1,BullStrong,Low
2023-12-27,558414.56,88647.13,88647.13,1,BullStrong,Low
2023-12-28,557414.18,88604.05,88604.05,1,BullStrong,Low
2023-12-29,551615.66,88220.59,88220.59,1,BullStrong,Low
2024-01-02,530389.53,86727.70,86727.70,1,BullStrong,Low
2024-01-03,517618.07,85810.00,85810.00,1,BullStrong,Low
2024-01-04,511201.84,85368.38,85368.38,1,BullStrong,Low
2024-01-05,512611.55,85469.63,85469.63,1,BullStrong,Low
2024-01-08,516073.86,87236.11,87236.11,3,Sideways,Low
2024-01-09,523818.38,87408.44,87408.44,3,Sideways,Low
2024-01-10,528795.86,88000.86,88000.86,3,Sideways,Low
2024-01-11,530200.21,88183.97,88183.97,3,Sideways,Low
2024-01-12,530548.75,88229.21,88229.21,3,Sideways,Low
2024-01-16,530440.71,88220.59,88220.59,3,Sideways,Low
2024-01-17,526135.85,87722.96,87722.96,3,Sideways,Low
