Run ID,Symbol Set,Portfolio Balance,Total Return %,Annualized Return %,Max Drawdown,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Total Trades,Profit Factor,Win Rate %,Avg Win ($),Avg Loss ($),Risk Bull,MACD Fast Period,MACD Slow Period,MACD Signal Period,ATR Period,Allocation Defense,Vix Ema Period,Ema Period Calm,Atr Stop Calm,Ema Period Choppy,Atr Stop Choppy
369,QQQ_TQQQ_VIX,354107.39,34.411,0.257,-0.109,3.28,1.48,2.37,343,0.0,0.283,1320.65,-175728.88,0.025,12,26,9,14,0.6,50,75,2.0,75,1.0
370,QQQ_TQQQ_VIX,85751.96,7.575,0.148,-0.095,2.33,1.06,1.55,343,0.0,0.283,446.21,-56857.84,0.015,12,26,9,14,0.6,50,75,2.0,100,2.0
371,QQQ_TQQQ_VIX,174991.22,16.499,0.202,-0.102,2.87,1.31,1.97,343,0.0,0.283,759.69,-100563.19,0.02,12,26,9,14,0.6,50,75,2.0,100,2.0
372,QQQ_TQQQ_VIX,354107.39,34.411,0.257,-0.109,3.28,1.48,2.37,343,0.0,0.283,1320.65,-175728.88,0.025,12,26,9,14,0.6,50,75,2.0,100,2.0
373,QQQ_TQQQ_VIX,85751.96,7.575,0.148,-0.095,2.33,1.06,1.55,343,0.0,0.283,446.21,-56857.84,0.015,12,26,9,14,0.6,50,75,2.0,100,2.5
374,QQQ_TQQQ_VIX,174991.22,16.499,0.202,-0.102,2.87,1.31,1.97,343,0.0,0.283,759.69,-100563.19,0.02,12,26,9,14,0.6,50,75,2.0,100,2.5
375,QQQ_TQQQ_VIX,354107.39,34.411,0.257,-0.109,3.28,1.48,2.37,343,0.0,0.283,1320.65,-175728.88,0.025,12,26,9,14,0.6,50,75,2.0,100,2.5
376,QQQ_TQQQ_VIX,85751.96,7.575,0.148,-0.095,2.33,1.06,1.55,343,0.0,0.283,446.21,-56857.84,0.015,12,26,9,14,0.6,50,75,2.0,100,1.0
377,QQQ_TQQQ_VIX,174991.22,16.499,0.202,-0.102,2.87,1.31,1.97,343,0.0,0.283,759.69,-100563.19,0.02,12,26,9,14,0.6,50,75,2.0,100,1.0
378,QQQ_TQQQ_VIX,354107.39,34.411,0.257,-0.109,3.28,1.48,2.37,343,0.0,0.283,1320.65,-175728.88,0.025,12,26,9,14,0.6,50,75,2.0,100,1.0
379,QQQ_TQQQ_VIX,792576.77,78.258,0.324,-0.116,3.51,1.51,2.79,340,0.0,0.282,2537.77,-334909.49,0.015,12,26,9,14,0.6,50,75,1.0,50,2.0
380,QQQ_TQQQ_VIX,2834027.89,282.403,0.437,-0.127,4.07,1.76,3.44,338,0.0,0.281,7250.88,-1011037.04,0.02,12,26,9,14,0.6,50,75,1.0,50,2.0
381,QQQ_TQQQ_VIX,5450486.18,544.049,0.499,-0.138,4.07,1.69,3.61,332,0.0,0.289,11777.88,-1891350.23,0.025,12,26,9,14,0.6,50,75,1.0,50,2.0
382,QQQ_TQQQ_VIX,792576.77,78.258,0.324,-0.116,3.51,1.51,2.79,340,0.0,0.282,2537.77,-334909.49,0.015,12,26,9,14,0.6,50,75,1.0,50,2.5
383,QQQ_TQQQ_VIX,2834027.89,282.403,0.437,-0.127,4.07,1.76,3.44,338,0.0,0.281,7250.88,-1011037.04,0.02,12,26,9,14,0.6,50,75,1.0,50,2.5
384,QQQ_TQQQ_VIX,5450486.18,544.049,0.499,-0.138,4.07,1.69,3.61,332,0.0,0.289,11777.88,-1891350.23,0.025,12,26,9,14,0.6,50,75,1.0,50,2.5
385,QQQ_TQQQ_VIX,792576.77,78.258,0.324,-0.116,3.51,1.51,2.79,340,0.0,0.282,2537.77,-334909.49,0.015,12,26,9,14,0.6,50,75,1.0,50,1.0
386,QQQ_TQQQ_VIX,2834027.89,282.403,0.437,-0.127,4.07,1.76,3.44,338,0.0,0.281,7250.88,-1011037.04,0.02,12,26,9,14,0.6,50,75,1.0,50,1.0
387,QQQ_TQQQ_VIX,5450486.18,544.049,0.499,-0.138,4.07,1.69,3.61,332,0.0,0.289,11777.88,-1891350.23,0.025,12,26,9,14,0.6,50,75,1.0,50,1.0
388,QQQ_TQQQ_VIX,792576.77,78.258,0.324,-0.116,3.51,1.51,2.79,340,0.0,0.282,2537.77,-334909.49,0.015,12,26,9,14,0.6,50,75,1.0,75,2.0
389,QQQ_TQQQ_VIX,2834027.89,282.403,0.437,-0.127,4.07,1.76,3.44,338,0.0,0.281,7250.88,-1011037.04,0.02,12,26,9,14,0.6,50,75,1.0,75,2.0
390,QQQ_TQQQ_VIX,5450486.18,544.049,0.499,-0.138,4.07,1.69,3.61,332,0.0,0.289,11777.88,-1891350.23,0.025,12,26,9,14,0.6,50,75,1.0,75,2.0
391,QQQ_TQQQ_VIX,792576.77,78.258,0.324,-0.116,3.51,1.51,2.79,340,0.0,0.282,2537.77,-334909.49,0.015,12,26,9,14,0.6,50,75,1.0,75,2.5
392,QQQ_TQQQ_VIX,2834027.89,282.403,0.437,-0.127,4.07,1.76,3.44,338,0.0,0.281,7250.88,-1011037.04,0.02,12,26,9,14,0.6,50,75,1.0,75,2.5
