Run ID,Symbol Set,Portfolio Balance,Total Return %,Annualized Return %,Max Drawdown,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Total Trades,Profit Factor,Win Rate %,Avg Win ($),Avg Loss ($),Risk Bull,MACD Fast Period,MACD Slow Period,MACD Signal Period,ATR Period,Allocation Defense,Vix Ema Period,Ema Period Calm,Atr Stop Calm,Ema Period Choppy,Atr Stop Choppy
077,QQQ_TQQQ_VIX,5158361.68,514.836,0.493,-0.138,4.03,1.66,3.57,333,0.0,0.291,11877.04,-1878909.09,0.05,12,26,9,14,0.6,20,75,2.0,50,1.0
078,QQQ_TQQQ_VIX,6732397.28,672.240,0.519,-0.15,3.95,1.6,3.47,317,0.0,0.306,13732.37,-2563493.4,0.06,12,26,9,14,0.6,20,75,2.0,50,1.0
079,QQQ_TQQQ_VIX,5158361.68,514.836,0.493,-0.138,4.03,1.66,3.57,333,0.0,0.291,11877.04,-1878909.09,0.05,12,26,9,14,0.6,20,75,2.0,75,2.0
080,QQQ_TQQQ_VIX,6732397.28,672.240,0.519,-0.15,3.95,1.6,3.47,317,0.0,0.306,13732.37,-2563493.4,0.06,12,26,9,14,0.6,20,75,2.0,75,2.0
081,QQQ_TQQQ_VIX,5158361.68,514.836,0.493,-0.138,4.03,1.66,3.57,333,0.0,0.291,11877.04,-1878909.09,0.05,12,26,9,14,0.6,20,75,2.0,75,2.5
082,QQQ_TQQQ_VIX,6732397.28,672.240,0.519,-0.15,3.95,1.6,3.47,317,0.0,0.306,13732.37,-2563493.4,0.06,12,26,9,14,0.6,20,75,2.0,75,2.5
083,QQQ_TQQQ_VIX,5158361.68,514.836,0.493,-0.138,4.03,1.66,3.57,333,0.0,0.291,11877.04,-1878909.09,0.05,12,26,9,14,0.6,20,75,2.0,75,1.0
084,QQQ_TQQQ_VIX,6732397.28,672.240,0.519,-0.15,3.95,1.6,3.47,317,0.0,0.306,13732.37,-2563493.4,0.06,12,26,9,14,0.6,20,75,2.0,75,1.0
085,QQQ_TQQQ_VIX,5158361.68,514.836,0.493,-0.138,4.03,1.66,3.57,333,0.0,0.291,11877.04,-1878909.09,0.05,12,26,9,14,0.6,20,75,2.0,100,2.0
086,QQQ_TQQQ_VIX,6732397.28,672.240,0.519,-0.15,3.95,1.6,3.47,317,0.0,0.306,13732.37,-2563493.4,0.06,12,26,9,14,0.6,20,75,2.0,100,2.0
087,QQQ_TQQQ_VIX,5158361.68,514.836,0.493,-0.138,4.03,1.66,3.57,333,0.0,0.291,11877.04,-1878909.09,0.05,12,26,9,14,0.6,20,75,2.0,100,2.5
088,QQQ_TQQQ_VIX,6732397.28,672.240,0.519,-0.15,3.95,1.6,3.47,317,0.0,0.306,13732.37,-2563493.4,0.06,12,26,9,14,0.6,20,75,2.0,100,2.5
089,QQQ_TQQQ_VIX,5158361.68,514.836,0.493,-0.138,4.03,1.66,3.57,333,0.0,0.291,11877.04,-1878909.09,0.05,12,26,9,14,0.6,20,75,2.0,100,1.0
090,QQQ_TQQQ_VIX,6732397.28,672.240,0.519,-0.15,3.95,1.6,3.47,317,0.0,0.306,13732.37,-2563493.4,0.06,12,26,9,14,0.6,20,75,2.0,100,1.0
091,QQQ_TQQQ_VIX,-419815.69,-42.982,,-1.0,,0.19,,76,0.0,0.421,149.99,-210433.32,0.05,12,26,9,14,0.6,20,75,1.0,50,2.0
092,QQQ_TQQQ_VIX,-185686.67,-19.569,,-1.0,,0.15,,68,0.0,0.471,102.24,-93989.83,0.06,12,26,9,14,0.6,20,75,1.0,50,2.0
093,QQQ_TQQQ_VIX,-419815.69,-42.982,,-1.0,,0.19,,76,0.0,0.421,149.99,-210433.32,0.05,12,26,9,14,0.6,20,75,1.0,50,2.5
094,QQQ_TQQQ_VIX,-185686.67,-19.569,,-1.0,,0.15,,68,0.0,0.471,102.24,-93989.83,0.06,12,26,9,14,0.6,20,75,1.0,50,2.5
095,QQQ_TQQQ_VIX,-419815.69,-42.982,,-1.0,,0.19,,76,0.0,0.421,149.99,-210433.32,0.05,12,26,9,14,0.6,20,75,1.0,50,1.0
096,QQQ_TQQQ_VIX,-185686.67,-19.569,,-1.0,,0.15,,68,0.0,0.471,102.24,-93989.83,0.06,12,26,9,14,0.6,20,75,1.0,50,1.0
097,QQQ_TQQQ_VIX,-419815.69,-42.982,,-1.0,,0.19,,76,0.0,0.421,149.99,-210433.32,0.05,12,26,9,14,0.6,20,75,1.0,75,2.0
098,QQQ_TQQQ_VIX,-185686.67,-19.569,,-1.0,,0.15,,68,0.0,0.471,102.24,-93989.83,0.06,12,26,9,14,0.6,20,75,1.0,75,2.0
099,QQQ_TQQQ_VIX,-419815.69,-42.982,,-1.0,,0.19,,76,0.0,0.421,149.99,-210433.32,0.05,12,26,9,14,0.6,20,75,1.0,75,2.5
100,QQQ_TQQQ_VIX,-185686.67,-19.569,,-1.0,,0.15,,68,0.0,0.471,102.24,-93989.83,0.06,12,26,9,14,0.6,20,75,1.0,75,2.5
101,QQQ_TQQQ_VIX,-419815.69,-42.982,,-1.0,,0.19,,76,0.0,0.421,149.99,-210433.32,0.05,12,26,9,14,0.6,20,75,1.0,75,1.0
102,QQQ_TQQQ_VIX,-185686.67,-19.569,,-1.0,,0.15,,68,0.0,0.471,102.24,-93989.83,0.06,12,26,9,14,0.6,20,75,1.0,75,1.0
103,QQQ_TQQQ_VIX,-419815.69,-42.982,,-1.0,,0.19,,76,0.0,0.421,149.99,-210433.32,0.05,12,26,9,14,0.6,20,75,1.0,100,2.0
104,QQQ_TQQQ_VIX,-185686.67,-19.569,,-1.0,,0.15,,68,0.0,0.471,102.24,-93989.83,0.06,12,26,9,14,0.6,20,75,1.0,100,2.0
105,QQQ_TQQQ_VIX,-419815.69,-42.982,,-1.0,,0.19,,76,0.0,0.421,149.99,-210433.32,0.05,12,26,9,14,0.6,20,75,1.0,100,2.5
106,QQQ_TQQQ_VIX,-185686.67,-19.569,,-1.0,,0.15,,68,0.0,0.471,102.24,-93989.83,0.06,12,26,9,14,0.6,20,75,1.0,100,2.5
107,QQQ_TQQQ_VIX,-419815.69,-42.982,,-1.0,,0.19,,76,0.0,0.421,149.99,-210433.32,0.05,12,26,9,14,0.6,20,75,1.0,100,1.0
108,QQQ_TQQQ_VIX,-185686.67,-19.569,,-1.0,,0.15,,68,0.0,0.471,102.24,-93989.83,0.06,12,26,9,14,0.6,20,75,1.0,100,1.0
109,QQQ_TQQQ_VIX,2487918.41,247.792,0.425,-0.117,3.92,1.73,3.65,330,0.0,0.306,6785.46,-1047665.92,0.05,12,26,9,14,0.6,20,100,2.5,50,2.0
110,QQQ_TQQQ_VIX,3889653.23,387.965,0.467,-0.129,3.88,1.64,3.61,323,0.0,0.313,9367.99,-1633362.47,0.06,12,26,9,14,0.6,20,100,2.5,50,2.0
111,QQQ_TQQQ_VIX,2487918.41,247.792,0.425,-0.117,3.92,1.73,3.65,330,0.0,0.306,6785.46,-1047665.92,0.05,12,26,9,14,0.6,20,100,2.5,50,2.5
112,QQQ_TQQQ_VIX,3889653.23,387.965,0.467,-0.129,3.88,1.64,3.61,323,0.0,0.313,9367.99,-1633362.47,0.06,12,26,9,14,0.6,20,100,2.5,50,2.5
113,QQQ_TQQQ_VIX,2487918.41,247.792,0.425,-0.117,3.92,1.73,3.65,330,0.0,0.306,6785.46,-1047665.92,0.05,12,26,9,14,0.6,20,100,2.5,50,1.0
114,QQQ_TQQQ_VIX,3889653.23,387.965,0.467,-0.129,3.88,1.64,3.61,323,0.0,0.313,9367.99,-1633362.47,0.06,12,26,9,14,0.6,20,100,2.5,50,1.0
115,QQQ_TQQQ_VIX,2487918.41,247.792,0.425,-0.117,3.92,1.73,3.65,330,0.0,0.306,6785.46,-1047665.92,0.05,12,26,9,14,0.6,20,100,2.5,75,2.0
116,QQQ_TQQQ_VIX,3889653.23,387.965,0.467,-0.129,3.88,1.64,3.61,323,0.0,0.313,9367.99,-1633362.47,0.06,12,26,9,14,0.6,20,100,2.5,75,2.0
117,QQQ_TQQQ_VIX,2487918.41,247.792,0.425,-0.117,3.92,1.73,3.65,330,0.0,0.306,6785.46,-1047665.92,0.05,12,26,9,14,0.6,20,100,2.5,75,2.5
118,QQQ_TQQQ_VIX,3889653.23,387.965,0.467,-0.129,3.88,1.64,3.61,323,0.0,0.313,9367.99,-1633362.47,0.06,12,26,9,14,0.6,20,100,2.5,75,2.5
119,QQQ_TQQQ_VIX,2487918.41,247.792,0.425,-0.117,3.92,1.73,3.65,330,0.0,0.306,6785.46,-1047665.92,0.05,12,26,9,14,0.6,20,100,2.5,75,1.0
120,QQQ_TQQQ_VIX,3889653.23,387.965,0.467,-0.129,3.88,1.64,3.61,323,0.0,0.313,9367.99,-1633362.47,0.06,12,26,9,14,0.6,20,100,2.5,75,1.0
121,QQQ_TQQQ_VIX,2487918.41,247.792,0.425,-0.117,3.92,1.73,3.65,330,0.0,0.306,6785.46,-1047665.92,0.05,12,26,9,14,0.6,20,100,2.5,100,2.0
122,QQQ_TQQQ_VIX,3889653.23,387.965,0.467,-0.129,3.88,1.64,3.61,323,0.0,0.313,9367.99,-1633362.47,0.06,12,26,9,14,0.6,20,100,2.5,100,2.0
123,QQQ_TQQQ_VIX,2487918.41,247.792,0.425,-0.117,3.92,1.73,3.65,330,0.0,0.306,6785.46,-1047665.92,0.05,12,26,9,14,0.6,20,100,2.5,100,2.5
124,QQQ_TQQQ_VIX,3889653.23,387.965,0.467,-0.129,3.88,1.64,3.61,323,0.0,0.313,9367.99,-1633362.47,0.06,12,26,9,14,0.6,20,100,2.5,100,2.5
125,QQQ_TQQQ_VIX,2487918.41,247.792,0.425,-0.117,3.92,1.73,3.65,330,0.0,0.306,6785.46,-1047665.92,0.05,12,26,9,14,0.6,20,100,2.5,100,1.0
126,QQQ_TQQQ_VIX,3889653.23,387.965,0.467,-0.129,3.88,1.64,3.61,323,0.0,0.313,9367.99,-1633362.47,0.06,12,26,9,14,0.6,20,100,2.5,100,1.0
127,QQQ_TQQQ_VIX,4706507.52,469.651,0.485,-0.132,3.92,1.64,3.67,321,0.0,0.315,11000.51,-1952911.18,0.05,12,26,9,14,0.6,20,100,2.0,50,2.0
128,QQQ_TQQQ_VIX,5868062.47,585.806,0.506,-0.147,3.82,1.57,3.45,304,0.0,0.332,12104.19,-2560913.03,0.06,12,26,9,14,0.6,20,100,2.0,50,2.0
129,QQQ_TQQQ_VIX,4706507.52,469.651,0.485,-0.132,3.92,1.64,3.67,321,0.0,0.315,11000.51,-1952911.18,0.05,12,26,9,14,0.6,20,100,2.0,50,2.5
130,QQQ_TQQQ_VIX,5868062.47,585.806,0.506,-0.147,3.82,1.57,3.45,304,0.0,0.332,12104.19,-2560913.03,0.06,12,26,9,14,0.6,20,100,2.0,50,2.5
131,QQQ_TQQQ_VIX,4706507.52,469.651,0.485,-0.132,3.92,1.64,3.67,321,0.0,0.315,11000.51,-1952911.18,0.05,12,26,9,14,0.6,20,100,2.0,50,1.0
132,QQQ_TQQQ_VIX,5868062.47,585.806,0.506,-0.147,3.82,1.57,3.45,304,0.0,0.332,12104.19,-2560913.03,0.06,12,26,9,14,0.6,20,100,2.0,50,1.0
133,QQQ_TQQQ_VIX,4706507.52,469.651,0.485,-0.132,3.92,1.64,3.67,321,0.0,0.315,11000.51,-1952911.18,0.05,12,26,9,14,0.6,20,100,2.0,75,2.0
134,QQQ_TQQQ_VIX,5868062.47,585.806,0.506,-0.147,3.82,1.57,3.45,304,0.0,0.332,12104.19,-2560913.03,0.06,12,26,9,14,0.6,20,100,2.0,75,2.0
