Trade_ID,Date,Bar_Number,Strategy_State,Ticker,Decision,Decision_Reason,Indicator_SMA_fast,Indicator_SMA_slow,Indicator_T_norm,Indicator_z_score,Threshold_leverage_scalar,Threshold_lower_thresh_z,Threshold_upper_thresh_z,Order_Type,Shares,Fill_Price,Position_Value,Slippage,Commission,Portfolio_Value_Before,Portfolio_Value_After,Cash_Before,Cash_After,Allocation_Before,Allocation_After,Cumulative_Return_Pct
480,2024-03-12 05:00:00-07:00,19069,v3.5b Cell 4: Sideways/High,TMV,BUY,"Kalman T_norm=-0.147, SMA_fast=430.49 vs SMA_slow=393.39, z_score=1.127, vol_crush=False",430.4915,393.3886428571429,-0.1465061226118953,1.1273490157351669,1.0,0.2,1.0,MARKET,7841,33.46343,262386.75463,0.0,78.41,656196.207453108,655855.672823108,656196.207453108,393731.042823108,CASH: 100.0%,"CASH: 60.0%, TMV: 40.0%",6458.55672823108
481,2024-03-22 05:00:00-07:00,19113,v3.5b Cell 3: Sideways/Low,TMV,SELL,"Kalman T_norm=-0.309, SMA_fast=434.92 vs SMA_slow=397.47, z_score=-0.446, vol_crush=True",434.91875,397.46914285714286,-0.30877165493920444,-0.4463864033475434,1.0,0.2,1.0,MARKET,7841,34.04592,266954.05872,0.0,78.41,660952.322823108,660606.691543108,393731.042823108,660606.691543108,"CASH: 59.6%, TMV: 40.4%",CASH: 100.0%,6506.06691543108
482,2024-03-22 05:00:00-07:00,19113,v3.5b Cell 3: Sideways/Low,TQQQ,BUY,"Kalman T_norm=-0.309, SMA_fast=434.92 vs SMA_slow=397.47, z_score=-0.446, vol_crush=True",434.91875,397.46914285714286,-0.30877165493920444,-0.4463864033475434,1.0,0.2,1.0,MARKET,4213,31.346315,132062.025095,0.0,42.13,660606.691543108,660432.631448108,660606.691543108,528502.536448108,CASH: 100.0%,"CASH: 80.0%, TQQQ: 20.0%",6504.32631448108
483,2024-03-22 05:00:00-07:00,19113,v3.5b Cell 3: Sideways/Low,QQQ,BUY,"Kalman T_norm=-0.309, SMA_fast=434.92 vs SMA_slow=397.47, z_score=-0.446, vol_crush=True",434.91875,397.46914285714286,-0.30877165493920444,-0.4463864033475434,1.0,0.2,1.0,MARKET,1182,446.82638,528148.78116,0.0,11.82,660432.631448108,659893.190288108,528502.536448108,341.935288108,"CASH: 80.0%, TQQQ: 20.0%","QQQ: 80.0%, TQQQ: 20.0%",6498.93190288108
484,2024-04-30 05:00:00-07:00,19245,v3.5b Cell 4: Sideways/High,TQQQ,SELL,"Kalman T_norm=-0.927, SMA_fast=436.52 vs SMA_slow=410.16, z_score=1.295, vol_crush=False",436.51800000000003,410.1550714285715,-0.9271691789557812,1.2946265424172767,1.0,0.2,1.0,MARKET,4213,26.3411325,110975.1912225,0.0,42.13,613293.592788108,613140.376510608,341.935288108,111274.996510608,"QQQ: 81.8%, TQQQ: 18.1%","CASH: 18.1%, QQQ: 81.9%",6031.40376510608
485,2024-04-30 05:00:00-07:00,19245,v3.5b Cell 4: Sideways/High,QQQ,SELL,"Kalman T_norm=-0.927, SMA_fast=436.52 vs SMA_slow=410.16, z_score=1.295, vol_crush=False",436.51800000000003,410.1550714285715,-0.9271691789557812,1.2946265424172767,1.0,0.2,1.0,MARKET,1182,424.16541,501363.51462,0.0,11.82,613140.376510608,612626.691130608,111274.996510608,612626.691130608,"CASH: 18.1%, QQQ: 81.9%",CASH: 100.0%,6026.26691130608
486,2024-04-30 05:00:00-07:00,19245,v3.5b Cell 4: Sideways/High,TMV,BUY,"Kalman T_norm=-0.927, SMA_fast=436.52 vs SMA_slow=410.16, z_score=1.295, vol_crush=False",436.51800000000003,410.1550714285715,-0.9271691789557812,1.2946265424172767,1.0,0.2,1.0,MARKET,5953,41.15111,244972.55783,0.0,59.53,612626.691130608,612322.433300608,612626.691130608,367594.603300608,CASH: 100.0%,"CASH: 60.0%, TMV: 40.0%",6023.22433300608
487,2024-05-14 05:00:00-07:00,19297,v3.5b Cell 2: BullStrong/High,TMV,SELL,"Kalman T_norm=0.148, SMA_fast=436.15 vs SMA_slow=415.37, z_score=0.440, vol_crush=False",436.15475,415.3720714285714,0.14846528412319596,0.4399649110858976,1.0,0.2,1.0,MARKET,5953,37.50246,223252.14438,0.0,59.53,591070.223300608,590787.217680608,367594.603300608,590787.217680608,"CASH: 62.2%, TMV: 37.8%",CASH: 100.0%,5807.87217680608
488,2024-05-14 05:00:00-07:00,19297,v3.5b Cell 2: BullStrong/High,QQQ,BUY,"Kalman T_norm=0.148, SMA_fast=436.15 vs SMA_slow=415.37, z_score=0.440, vol_crush=False",436.15475,415.3720714285714,0.14846528412319596,0.4399649110858976,1.0,0.2,1.0,MARKET,1323,446.37593,590555.35539,0.0,13.23,590787.217680608,590184.022290608,590787.217680608,218.632290608,CASH: 100.0%,QQQ: 100.0%,5801.84022290608
489,2024-05-20 05:00:00-07:00,19316,v3.5b Cell 1: BullStrong/Low,QQQ,SELL,"Kalman T_norm=0.510, SMA_fast=437.08 vs SMA_slow=418.32, z_score=-0.692, vol_crush=True",437.07875,418.3228571428571,0.5102401031143093,-0.6917751857828601,1.0,0.2,1.0,MARKET,794,454.45509,360837.34146,0.0,7.94,602064.562290608,601695.423750608,218.632290608,361048.033750608,QQQ: 100.0%,"CASH: 60.0%, QQQ: 40.0%",5916.95423750608
490,2024-05-20 05:00:00-07:00,19316,v3.5b Cell 1: BullStrong/Low,TQQQ,BUY,"Kalman T_norm=0.510, SMA_fast=437.08 vs SMA_slow=418.32, z_score=-0.692, vol_crush=True",437.07875,418.3228571428571,0.5102401031143093,-0.6917751857828601,1.0,0.2,1.0,MARKET,11456,31.50147,360880.84032,0.0,114.56,601695.423750608,601220.343430608,361048.033750608,52.633430608,"CASH: 60.0%, QQQ: 40.0%","QQQ: 40.0%, TQQQ: 60.0%",5912.20343430608
491,2024-07-19 05:00:00-07:00,19520,v3.5b Cell 3: Sideways/Low,TQQQ,SELL,"Kalman T_norm=-0.100, SMA_fast=476.06 vs SMA_slow=444.14, z_score=0.693, vol_crush=False",476.05575,444.13642857142855,-0.10033180908805628,0.6929763271911668,1.0,0.2,1.0,MARKET,7757,35.49447,275330.60379,0.0,77.57,658486.273430608,658133.097220608,52.633430608,275305.667220608,"QQQ: 38.2%, TQQQ: 61.8%","CASH: 41.8%, QQQ: 38.2%, TQQQ: 20.0%",6481.33097220608
492,2024-07-19 05:00:00-07:00,19520,v3.5b Cell 3: Sideways/Low,QQQ,BUY,"Kalman T_norm=-0.100, SMA_fast=476.06 vs SMA_slow=444.14, z_score=0.693, vol_crush=False",476.05575,444.13642857142855,-0.10033180908805628,0.6929763271911668,1.0,0.2,1.0,MARKET,578,475.71524,274963.40872,0.0,5.78,658133.097220608,657852.628500608,275305.667220608,336.478500608,"CASH: 41.8%, QQQ: 38.2%, TQQQ: 20.0%","QQQ: 80.0%, TQQQ: 20.0%",6478.52628500608
493,2024-07-24 05:00:00-07:00,19534,v3.5b Cell 4: Sideways/High,TQQQ,SELL,"Kalman T_norm=-0.654, SMA_fast=477.53 vs SMA_slow=445.59, z_score=2.168, vol_crush=False",477.53075,445.58578571428575,-0.6537575939507057,2.1679232626683507,1.0,0.2,1.0,MARKET,3699,32.692275,120928.725225,0.0,36.99,634347.913500608,634189.873725608,336.478500608,121228.213725608,"QQQ: 80.9%, TQQQ: 19.1%","CASH: 19.1%, QQQ: 80.9%",6241.89873725608
